Site (Name or ID),LATITUDE,LONGITUDE
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.775317,145.98045
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.772867,145.976683
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16049S,-16.76995,145.973567
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
