survey_title,HC,OT,A,AB,SC,SP,date.(UTC),year,reef,reef_pooled,site,habitat,zone,site_latitude,site_longitude,plot,cluster,survey_id,site_id,date
CBHE_BA1S_P4_202305_42,40.76190476,0.19047619,52.85714286,1.952380952,4.047619048,0.19047619,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA1,BA,S,-23.44764618,151.9578134,4,CB,86212,17885,202305
CBHE_BA2D_P1_202105_42,31.35135135,0.378378378,55.62162162,7.135135135,4.486486486,1.027027027,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA2,BA,D,-23.44764618,151.9578134,1,CB,84091,17885,202105
CBHE_BA2D_P1_202205_42,34.19047619,0.238095238,56.04761905,3.761904762,5.380952381,0.380952381,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA2,BA,D,-23.44764618,151.9578134,1,CB,84869,17885,202205
CBHE_BA2D_P1_202305_42,38.9047619,0.428571429,48.04761905,5.80952381,6.285714286,0.523809524,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA2,BA,D,-23.44764618,151.9578134,1,CB,86213,17885,202305
CBHE_BA2D_P2_202105_42,56.05405405,0.108108108,38.0,3.243243243,2.432432432,0.162162162,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA2,BA,D,-23.44764618,151.9578134,2,CB,84092,17885,202105
CBHE_BA2D_P2_202205_42,51.53846154,0.205128205,42.46153846,2.256410256,3.435897436,0.102564103,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA2,BA,D,-23.44764618,151.9578134,2,CB,84870,17885,202205
CBHE_BA2D_P2_202305_42,44.52380952,0.095238095,47.85714286,4.19047619,2.857142857,0.476190476,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA2,BA,D,-23.44764618,151.9578134,2,CB,86214,17885,202305
CBHE_BA2D_P3_202105_42,62.29268293,0.097560976,32.3902439,3.170731707,1.902439024,0.146341463,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA2,BA,D,-23.44764618,151.9578134,3,CB,84093,17885,202105
CBHE_BA2D_P3_202205_42,62.53658537,0.048780488,30.97560976,2.292682927,3.463414634,0.682926829,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA2,BA,D,-23.44764618,151.9578134,3,CB,84871,17885,202205
CBHE_BA2D_P3_202305_42,69.52380952,0.0,22.95238095,4.857142857,2.428571429,0.238095238,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA2,BA,D,-23.44764618,151.9578134,3,CB,86215,17885,202305
CBHE_BA2D_P4_202105_42,56.38095238,0.238095238,37.33333333,1.476190476,4.285714286,0.285714286,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA2,BA,D,-23.44764618,151.9578134,4,CB,84094,17885,202105
