Site,Data_Source,ISO_Date,Year,Month,Day,Temperature
unitless,unitless,unitless,unitless,unitless,unitless,degrees Celsius (degC)
LTER2,LTER0,2005-04-23,2005,4,23,28.91
LTER2,LTER0,2005-04-24,2005,4,24,28.91
LTER2,LTER0,2005-04-25,2005,4,25,28.93
LTER2,LTER0,2005-04-26,2005,4,26,29.02
LTER2,LTER0,2005-04-27,2005,4,27,29.01
LTER2,LTER0,2005-04-28,2005,4,28,29.04
LTER2,LTER0,2005-04-29,2005,4,29,29.05
LTER2,LTER0,2005-04-30,2005,4,30,28.91
LTER2,LTER0,2005-05-01,2005,5,1,28.75
LTER2,LTER0,2005-05-02,2005,5,2,28.74
LTER2,LTER0,2005-05-03,2005,5,3,28.75
LTER2,LTER0,2005-05-04,2005,5,4,28.56
LTER2,LTER0,2005-05-05,2005,5,5,28.59
LTER2,LTER0,2005-05-06,2005,5,6,28.42
LTER2,LTER0,2005-05-07,2005,5,7,28.6
LTER2,LTER0,2005-05-08,2005,5,8,28.75
LTER2,LTER0,2005-05-09,2005,5,9,28.75
LTER2,LTER0,2005-05-10,2005,5,10,28.58
LTER2,LTER0,2005-05-11,2005,5,11,28.54
LTER2,LTER0,2005-05-12,2005,5,12,28.46
LTER2,LTER0,2005-05-13,2005,5,13,28.33
LTER2,LTER0,2005-05-14,2005,5,14,28.31
LTER2,LTER0,2005-05-15,2005,5,15,28.26
LTER2,LTER0,2005-05-16,2005,5,16,28.15
LTER2,LTER0,2005-05-17,2005,5,17,27.93
LTER2,LTER0,2005-05-18,2005,5,18,27.9
LTER2,LTER0,2005-05-19,2005,5,19,27.92
LTER2,LTER0,2005-05-20,2005,5,20,27.98
LTER2,LTER0,2005-05-21,2005,5,21,27.99
LTER2,LTER0,2005-05-22,2005,5,22,27.89
LTER2,LTER2,2005-05-23,2005,5,23,27.82
LTER2,LTER2,2005-05-24,2005,5,24,27.7
LTER2,LTER2,2005-05-25,2005,5,25,27.61
LTER2,LTER2,2005-05-26,2005,5,26,27.5
LTER2,LTER2,2005-05-27,2005,5,27,27.62
LTER2,LTER2,2005-05-28,2005,5,28,27.59
LTER2,LTER2,2005-05-29,2005,5,29,27.37
LTER2,LTER2,2005-05-30,2005,5,30,27.38
LTER2,LTER2,2005-05-31,2005,5,31,27.54
LTER2,LTER2,2005-06-01,2005,6,1,27.58
LTER2,LTER2,2005-06-02,2005,6,2,27.6
LTER2,LTER2,2005-06-03,2005,6,3,27.36
LTER2,LTER2,2005-06-04,2005,6,4,27.41
LTER2,LTER2,2005-06-05,2005,6,5,27.47
LTER2,LTER2,2005-06-06,2005,6,6,27.5
LTER2,LTER2,2005-06-07,2005,6,7,27.56
LTER2,LTER2,2005-06-08,2005,6,8,27.42
LTER2,LTER2,2005-06-09,2005,6,9,27.39
LTER2,LTER2,2005-06-10,2005,6,10,27.23
LTER2,LTER2,2005-06-11,2005,6,11,27.15
LTER2,LTER2,2005-06-12,2005,6,12,27.13
LTER2,LTER2,2005-06-13,2005,6,13,27.22
LTER2,LTER2,2005-06-14,2005,6,14,27.25
LTER2,LTER2,2005-06-15,2005,6,15,27.25
LTER2,LTER2,2005-06-16,2005,6,16,27.23
